GENENAME	Adrenal4.a.s	Adrenal4.c.s	Adrenal4.d.s	Thryoid5.a.s	Thyroid5.b.s	Thyroid5.c.s	Thyroid5.d.s
PLEKHG5	1115	795	833	79	232	56	128
NOL9	387	286	290	351	289	565	256
RP11-58A11.2	3	0	0	2	7	0	2
TAS1R1	6	8	9	0	2	212	0
ZBTB48	350	245	286	312	434	80	307
KLHL21	1034	855	1196	842	690	105	816
PHF13	378	401	307	375	310	1	217
THAP3	268	152	148	122	174	0	158
DNAJC11	583	590	735	490	478	0	489
RP11-242F24.1	0	0	0	1	9	0	5
snoU13	102	95	78	112	129	815	115
RP11-312B8.1	3	3	2	8	9	0	4
CAMTA1	930	723	678	396	374	404	420
RP11-312B8.2	0	0	0	0	0	1	0
RP11-334N17.1	0	0	0	0	0	0	0
U1	13	15	13	29	26	137	12
CAMTA1-IT1	1	1	4	1	0	0	1
RP3-453P22.2	0	0	0	0	0	1	0
RP4-549F15.1	0	3	1	0	0	0	1
RP11-338N10.1	3	3	1	0	2	1	0
RP11-338N10.2	1	6	1	0	1	0	0
RP11-338N10.3	4	3	5	2	1	0	4
VAMP3	2421	2126	2201	1918	1522	15	2214
RP3-467L1.6	10	3	10	11	12	0	10
PER3	816	606	686	1230	1698	181	1906
RP3-467L1.4	4	1	3	1	11	0	6
UTS2	24	10	19	0	0	0	0
TNFRSF9	3	4	1	1	12	1	3
RP5-892F13.2	0	0	0	0	0	0	0
PARK7	3904	2678	3002	2356	2798	74	2505
Y_RNA	160	140	128	221	248	1220	220
ERRFI1	1119	2523	1261	2820	4729	0	4318
RP11-431K24.1	4	3	3	11	59	1	14
CTA-215D11.4	0	0	0	0	0	1	0
RP11-431K24.2	0	0	0	1	0	0	0
RP11-431K24.3	0	0	0	1	0	0	0
RP11-431K24.4	0	0	0	0	6	0	0
RN7SL729P	0	0	0	0	0	2	0
SLC45A1	59	54	86	11	23	1	21
RERE	2596	2156	2446	1884	3063	105	2527
RP5-1115A15.1	7	4	8	2	5	0	11
SNORA77	0	1	1	0	0	0	1
RP5-1115A15.2	1	0	0	0	0	0	0
RP4-633I8.1	0	1	1	1	0	0	0
RP4-633I8.2	0	0	0	0	0	0	1
RP4-633I8.3	0	0	0	0	0	0	0
RP4-633I8.4	0	1	0	0	0	0	1
RP11-185B14.1	0	0	0	0	0	1	0
ENO1	5211	5520	5376	7148	4085	0	5186
ENO1-IT1	0	1	1	0	3	0	0
ENO1-AS1	7	1	2	4	10	0	10
HMGN2P17	0	0	0	0	0	0	0
RP3-477M7.5	2	2	2	3	4	0	3
RP3-477M7.6	0	0	0	0	0	0	0
CA6	0	0	0	2	0	0	0
RN7SL451P	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	1
SLC2A5	57	121	264	9	8	73	2
SCARNA16	0	0	0	0	0	56	1
GPR157	215	235	254	327	164	0	224
MIR34A	1	2	2	2	1	0	0
RP3-510D11.1	1	0	4	1	1	2	0
RP3-510D11.2	1	1	3	1	4	0	0
H6PD	2020	4915	2108	1404	1610	1	1396
Z98044.1	0	0	0	0	0	0	0
SPSB1	228	589	145	339	188	2	273
RNA5SP40	0	0	0	0	0	0	0
RP13-392I16.1	1	0	0	0	0	2	0
SLC25A33	74	59	71	85	79	7	128
RP13-15M17.1	0	5	6	1	4	0	13
TMEM201	251	196	239	110	174	0	111
PIK3CD	192	137	420	36	245	212	157
C1orf200	0	0	1	0	1	0	0
RP11-558F24.2	0	0	0	0	0	2	0
RP11-558F24.4	4	3	5	9	64	243	25
CLSTN1	2689	2563	2849	2328	3770	0	2315
RP11-558F24.6	0	2	2	0	0	0	0
CTNNBIP1	263	163	250	447	384	1	513
RP11-84A14.5	0	0	0	0	0	0	0
LZIC	334	317	443	677	509	34	601
RP11-84A14.4	1	1	5	3	9	0	4
NMNAT1	225	168	191	342	281	2	322
RN7SKP269	2	0	1	0	1	97	1
MIR5697	0	0	0	1	0	0	0
RP11-807G9.2	0	0	0	0	0	0	0
RBP7	93	73	86	222	188	0	174
AL590639.1	0	0	0	0	0	0	0
UBE4B	1489	1363	1672	2275	1716	82	1717
RP11-496H15.2	0	0	0	0	0	1	0
PGAM1P11	0	0	0	0	0	59	0
KIF1B	1676	1902	2781	1575	1412	287	1679
MIR1273D	0	0	0	0	0	0	0
RNU6-37	0	0	0	0	0	0	0
RN7SL731P	0	0	0	0	0	0	0
RN7SL721P	0	0	0	0	0	1	0
PGD	742	634	906	2118	1839	164	2216
APITD1	67	46	46	65	102	1	44
APITD1-CORT	0	0	0	0	0	0	0
CORT	2	1	0	0	3	0	1
DFFA	705	565	586	791	735	4	783
RP5-1113E3.3	0	0	0	0	0	0	0
PEX14	222	194	198	157	245	1	194
RN7SL614P	0	0	0	0	2	0	1
CASZ1	140	145	154	41	100	0	192
RP11-340B24.3	0	0	0	0	0	0	0
C1orf127	17	8	19	1	7	212	1
CFL1P6	3	0	0	0	3	0	0
AL713997.1	0	0	0	0	0	0	0
TARDBP	2512	2432	2207	3105	3015	241	3482
MASP2	78	37	46	58	73	156	78
SRM	402	372	451	350	255	31	237
EXOSC10	707	580	728	734	728	86	847
RP4-635E18.7	3	0	0	0	5	8	1
RP4-635E18.6	2	0	2	1	1	0	0
MTOR	911	1014	1174	1534	1461	122	1381
MTOR-AS1	0	0	0	0	0	47	0
ANGPTL7	74	73	65	0	0	11	8
RPL39P6	0	0	0	0	0	0	0
UBIAD1	318	276	317	450	400	0	339
UBE2V2P3	1	0	0	0	2	0	0
RP11-149P14.1	0	0	0	0	0	0	0
PTCHD2	19	11	22	0	2	0	3
RP1-69M21.2	0	0	0	0	0	55	0
FBXO2	550	321	394	35	91	0	38
FBXO44	804	498	621	298	565	0	344
FBXO6	108	99	132	86	114	1	97
MAD2L2	186	141	197	141	199	49	82
DRAXIN	0	3	1	2	4	11	0
AGTRAP	160	180	251	233	338	59	231
C1orf167	0	0	0	0	0	90	0
RP11-56N19.5	0	0	0	0	0	2	0
MTHFR	297	548	442	1303	1005	5	970
CLCN6	705	653	798	575	576	0	541
NPPA-AS1	13	12	12	7	6	0	4
NPPA	4	3	3	3	7	0	8
NPPB	0	0	0	1	3	0	1
RP5-934G17.6	5	8	2	2	8	0	6
RNU5E-1	0	0	0	0	1	0	0
RNU5E-4P	0	0	0	2	0	0	0
KIAA2013	488	379	552	526	740	21	549
PLOD1	1027	1111	1120	1770	1463	341	1273
MFN2	1551	1568	1795	5959	3005	0	3240
RP5-1077B9.5	1	0	0	0	0	0	0
MIIP	127	140	156	186	224	0	121
RN7SL649P	0	0	0	0	0	0	0
TNFRSF8	4	3	4	1	2	2	5
RP11-426M1.2	0	0	0	0	0	0	0
TNFRSF1B	408	690	631	149	354	140	211
MIR4632	0	0	0	0	0	0	0
RP5-1118D24.2	0	0	0	0	0	0	0
SNORA70	0	2	2	0	5	1	7
VPS13D	1109	1061	1428	3214	2717	391	3486
SNORA59A	0	1	2	2	5	0	1
RP5-888M10.2	0	0	1	0	0	1	0
DHRS3	655	272	389	1632	968	0	1075
RNU6ATAC18P	0	0	0	2	5	0	9
AADACL4	1	1	2	0	0	0	0
RP11-474O21.2	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0
C1orf158	0	0	0	3	0	0	5
PRAMEF12	0	0	0	0	0	0	1
PRAMEF1	0	0	0	0	0	0	0
RP5-845O24.8	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0
RP5-845O24.3	0	0	0	0	0	0	0
HNRNPCL1	6	7	5	1	1	0	1
PRAMEF2	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0
RP11-450I1.2	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0
RP11-450I1.4	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0
WI2-3308P17.2	0	0	0	0	0	0	0
RP13-221M14.7	0	0	0	0	0	0	0
RP13-221M14.6	0	0	0	0	0	0	0
RP13-221M14.1	0	0	0	0	0	0	0
RP13-221M14.2	0	0	0	0	0	0	0
RP13-221M14.3	0	0	0	0	0	0	0
RP13-221M14.4	0	0	0	0	0	0	0
RP13-221M14.5	1	0	0	0	0	0	0
WI2-2994D6.1	0	0	0	0	0	0	0
WI2-2994D6.2	0	0	0	0	0	0	0
PRAMEF3	0	0	0	0	0	0	0
RP11-248D7.2	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0
RP11-219C24.8	0	0	0	0	0	1	0
PRAMEF8	0	0	0	0	0	0	0
RP11-219C24.6	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0
RP11-219C24.10	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0	0
XX-FW84067D5.1	0	0	0	0	0	4	0
XX-FW84067D5.2	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	2	0
PRAMEF17	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	1	0
LRRC38	553	321	431	0	0	1	0
RP4-597A16.2	7	5	1	0	0	0	0
RP4-597A16.3	0	0	0	0	0	0	0
PDPN	63	77	62	2	3	0	210
RNA5SP41	0	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0	0
CTA-520D8.2	0	0	0	0	0	0	0
SCARNA11	2	0	0	0	0	0	1
PRDM2	971	985	1137	1447	1930	0	2586
RP11-344F13.1	0	1	0	0	0	0	0
RP4-704D23.1	0	0	0	0	0	0	0
KAZN	705	639	478	611	445	172	383
TBCAP2	0	0	0	0	0	0	0
TMEM51-AS1	28	11	13	7	4	0	4
TMEM51	475	329	366	127	126	22	73
C1orf195	0	0	0	0	0	25	0
RP1-21O18.3	0	0	0	0	0	29	0
FHAD1	30	20	32	28	104	120	121
RP3-467K16.2	12	8	18	7	3	0	9
RP3-467K16.7	1	1	8	4	2	98	6
RP3-467K16.4	7	7	3	4	9	568	12
EFHD2	1306	1037	1420	295	686	11	577
CTRC	1	1	1	0	0	56	2
CELA2A	0	2	1	0	0	0	0
CELA2B	3	9	7	0	2	117	4
CASP9	606	1392	1083	345	376	23	323
DNAJC16	450	400	518	799	683	10	764
SCARNA21	5	3	0	1	2	0	1
AGMAT	26	18	20	3	36	34	13
RP4-680D5.2	0	0	1	2	14	149	7
CHCHD2P6	555	322	479	67	77	169	79
RNU7-179P	0	0	0	0	0	45	0
RP4-680D5.4	0	0	0	0	0	4	0
DDI2	600	642	909	957	949	16	1158
RSC1A1	0	0	0	0	0	0	0
PLEKHM2	874	973	1279	727	860	127	607
AL121992.1	0	0	0	0	0	0	0
RP11-288I21.1	7	13	13	7	7	15	6
SLC25A34	113	77	110	18	35	0	36
RP11-169K16.4	0	0	0	0	0	0	0
TMEM82	0	0	0	1	0	0	1
FBLIM1	743	599	541	234	498	0	293
RP11-169K16.6	0	0	0	0	0	0	1
RP11-169K16.7	561	315	342	328	191	23	193
RP11-169K16.8	278	245	347	264	122	0	191
RP11-169K16.9	120	89	95	79	120	3	57
SPEN	1019	1397	1344	2167	2310	132	2536
RP1-134O19.3	0	0	0	0	0	1	0
ZBTB17	360	268	310	145	301	1	238
RP11-5P18.1	0	0	0	0	0	0	0
RP11-5P18.3	0	0	0	0	0	1	0
TBC1D3P6	0	0	0	0	0	1	0
C1orf64	0	0	0	0	12	0	6
RP11-5P18.5	0	0	0	0	0	0	0
HSPB7	1126	824	582	61	288	0	277
CLCNKA	135	13	14	112	369	4	224
RP11-5P18.10	7	1	5	0	1	0	3
CLCNKB	27	22	6	20	280	3	286
FAM131C	33	22	25	0	6	1	0
EPHA2	444	276	525	415	491	320	423
RP11-276H7.2	1	1	2	2	5	3	1
RP11-276H7.3	3	0	1	3	6	0	2
ARHGEF19-AS1	0	0	0	0	0	0	0
ARHGEF19	345	175	183	183	490	1	294
ANO7P1	58	45	29	19	122	0	74
C1orf134	32	17	17	26	20	0	9
RSG1	79	40	77	75	139	0	93
MT1XP1	50	55	21	164	92	0	110
FBXO42	554	452	435	875	644	183	650
SZRD1	1233	1150	1273	1003	1170	0	985
RP11-430L17.1	21	13	14	2	1	0	2
SPATA21	0	0	0	0	1	0	0
NECAP2	837	731	916	748	815	0	600
RP4-798A10.2	14	7	13	16	46	0	27
CROCCP3	120	73	111	65	95	0	70
RNU1-1	0	0	0	0	1	0	0
RP4-798A10.7	3	5	3	4	19	0	4
RP4-798A10.4	0	0	0	0	0	0	0
RP5-875O13.1	3	2	6	0	1	0	1
AL355149.2	0	0	0	0	0	0	0
RP5-875O13.6	0	0	0	0	0	0	0
AL355149.1	0	0	0	0	0	0	0
NBPF1	1655	2243	2873	654	1157	43	1023
CROCCP2	266	324	362	218	333	18	258
MST1P2	74	104	62	10	241	29	69
RNU1-3	0	0	0	0	0	0	0
AL137798.1	0	0	0	0	0	3	0
AL021920.1	0	0	0	0	0	0	0
EIF1AXP1	358	474	418	557	391	0	607
ESPNP	0	1	4	3	0	16	0
AL021920.2	0	0	0	0	0	0	0
CROCC	255	225	340	55	98	0	79
RNU1-4	0	0	0	0	0	2	0
CROCCP4	0	0	0	0	0	0	1
MST1L	7	25	38	11	130	5	100
RP11-108M9.1	0	0	0	0	0	0	0
RP11-108M9.2	0	0	0	0	0	0	0
MIR3675	0	0	0	0	0	0	0
RP11-108M9.3	20	16	28	0	1	0	2
RP11-108M9.4	5	9	12	2	1	0	1
RP11-108M9.5	2	1	5	0	1	0	0
RNU1-2	0	0	0	0	0	0	0
MFAP2	66	50	31	5	9	1	42
RP1-37C10.3	1	0	0	0	0	0	0
ATP13A2	334	339	641	300	627	1	336
SDHB	1206	830	1096	822	516	0	719
PADI2	15	96	48	26	29	130	12
RP11-380J14.1	0	0	0	0	0	0	0
PADI1	0	0	2	0	1	0	0
PADI3	0	0	0	0	1	0	0
MIR3972	0	0	0	0	0	0	0
PADI4	4	2	8	6	2	71	1
AC004824.2	0	0	0	0	0	0	0
PADI6	0	0	0	0	0	1	0
RP1-20B21.4	0	0	0	0	0	0	0
RCC2	499	616	649	1673	836	0	590
AC004824.1	0	0	0	0	0	0	0
ARHGEF10L	545	488	659	1794	1347	0	927
RP11-473A10.2	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0
RP11-174G17.2	0	0	0	0	1	0	0
IGSF21	142	147	158	5	11	0	7
RP11-174G17	0	0	0	0	0	0	0
RP11-422P22.1	1	0	0	0	0	0	0
KLHDC7A	1	0	2	81	87	0	110
RP1-8B22.1	0	0	0	0	0	0	0
RP1-8B22.2	0	0	0	0	0	0	0
PAX7	3	2	0	0	0	88	0
TAS1R2	0	0	0	0	0	1	0
RP13-279N23.2	0	0	0	0	0	8	0
ALDH4A1	259	160	229	73	214	88	147
MIR4695	0	0	0	0	0	0	0
MIR1290	0	0	0	0	0	28	0
IFFO2	324	387	474	306	491	164	246
UBR4	2261	2620	2558	3915	3058	8	2885
AL137127.1	2	4	1	1	1	0	0
RP1-43E13.2	15	5	9	4	10	0	3
EMC1	615	818	762	1257	1044	0	915
MRTO4	402	352	370	394	298	0	304
AKR7L	10	5	9	2	6	61	5
AKR7A3	36	50	37	0	4	0	6
RP4-657E11.10	21	16	12	31	26	71	26
AKR7A2	513	504	594	238	266	0	262
PQLC2	312	214	279	133	154	226	122
RN7SL85P	0	0	0	0	0	1	0
CAPZB	2788	2462	2658	2438	2049	162	2268
RN7SL277P	0	0	0	0	0	0	0
RNU4-28P	0	0	0	0	0	0	0
RP5-1056L3.1	0	2	0	0	0	0	1
NBL1	782	577	682	187	120	0	341
MINOS1	214	151	207	259	202	0	204
RPS14P3	369	168	226	29	26	0	24
HTR6	0	1	1	0	0	0	0
TMCO4	309	289	306	611	566	0	570
RNF186	0	0	0	0	0	0	0
RP11-91K11.2	2	0	0	0	0	0	0
OTUD3	426	470	553	440	262	1	418
PLA2G2E	0	0	0	0	0	0	0
RN7SL304P	0	0	0	0	0	0	0
PLA2G2A	76	24	65	0	0	0	14
PLA2G5	17	18	6	10	3	0	16
PLA2G2D	0	0	4	2	15	0	7
PLA2G2F	0	0	0	0	0	0	0
RP3-340N1.2	3	3	2	0	0	8	0
PLA2G2C	0	0	0	0	0	0	0
RP3-340N1.5	20	7	5	8	1	0	3
UBXN10	95	129	102	70	299	0	509
RP3-340N1.6	0	0	0	0	0	0	0
VWA5B1	40	33	36	0	26	68	3
RP4-745E8.2	0	0	0	0	0	1	0
RP4-749H3.1	1	0	2	0	0	27	0
RP4-749H3.2	0	0	0	0	0	0	0
CAMK2N1	2616	1805	1803	253	41	53	117
MUL1	482	389	487	637	462	73	508
RP11-401M16.3	0	0	0	0	0	1	0
FAM43B	372	212	241	11	0	104	7
CDA	23	13	19	20	64	5	32
PINK1	844	748	1162	460	464	3	379
PINK1-AS	40	44	45	98	107	76	83
AL391357.1	0	0	0	0	0	0	0
DDOST	2181	2089	2247	4777	4972	85	4669
KIF17	217	173	174	13	84	0	43
RP5-930J4.5	0	0	0	0	0	0	0
SH2D5	4	5	7	32	28	56	25
RP5-930J4.2	1	0	0	0	0	0	0
HP1BP3	2880	3215	3219	3757	3597	2	5390
RP5-930J4.4	0	0	0	0	0	0	0
EIF4G3	1673	1810	2006	4483	3116	592	3351
RNU7-200P	0	0	0	0	1	0	0
MIR1256	0	0	0	0	0	0	0
RP11-487E1.1	0	0	0	1	1	1	0
RP11-487E1.2	0	0	0	0	0	0	0
RP11-628K18.1	0	0	1	0	0	0	0
AL031005.1	0	0	0	0	0	0	0
ECE1	5701	6092	6103	2617	3027	91	2573
RP3-329E20.2	2	4	6	0	0	2	0
